TIMETABLE I SEM 2025 -26,,,,,,,,,,,,
COMP CODE,COURSE NO.,COURSE TITLE,L,P,U,SEC,INSTRUCTOR_IN_CHARGE/INSTR UCTOR,ROOM,DAYS,HOUR S,MIDSEM,ENDSEM
,,,,,,P1,Ankur Bhattacharjee,W106,M,67,,
,,,,,,,Gorityala Aishvaria,,,,,
,,,,,,,Mahad Mohamud Uud,,,,,
,,,,,,P2,Joyjit Mukherjee,W106,T,67,,
,,,,,,,Mahad Mohamud Uud,,,,,
,,,,,,,Pragada Dheeraj Abhinav,,,,,
,,,,,,P3,Sudha Radhika,W106,W,67,,
,,,,,,,Danwada Sharanya,,,,,
,,,,,,,Avula Vijay Kumar,,,,,
,,,,,,P4,Pratyush Chakraborty,W106,Th,67,,
,,,,,,,Aabid Chandbasha Mulla,,,,,
,,,,,,,Abhinav Sharma,,,,,
,,,,,,P5,Gorityala Aishvaria,W106,M,23,,
,,,,,,,Krishna Tejus E M,,,,,
,,,,,,P6,Pragada Dheeraj Abhinav,W106,W,23,,
,,,,,,,Abhinav Sharma,,,,,
,,,,,,P7,Avula Vijay Kumar,W106,F,23,,
,,,,,,,Danwada Sharanya,,,,,
,,,,,,P8,Krishna Tejus E M,W106,T,45,,
,,,,,,,Aabid Chandbasha Mulla,,,,,
1381,ECE F212,ELECTROMAGNETIC THEO I,3,0,3,L1,"SATYA NARAYANA MURTHY
VEMULAPATI",G201,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Satya Narayana Murthy Vemulapati,G201,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L2,Asrarul Haque,G202,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Asrarul Haque,G202,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L3,Rickmoy Samanta,G203,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Rickmoy Samanta,G203,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L4,Tanay Nag,G204,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Tanay Nag,G204,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L5,Subhash Narayan Karbelkar,G205,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Subhash Narayan Karbelkar,G205,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L6,Sashideep Gutti,G206,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Sashideep Gutti,G206,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L7,Swastik Bhattacharya,G207,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Swastik Bhattacharya,G207,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Satya Narayana Murthy Vemulapati,G201,M,1,,
,,,,,,T2,Asrarul Haque,G202,M,1,,
,,,,,,T3,Rickmoy Samanta,G203,M,1,,
,,,,,,T4,Tanay Nag,G204,M,1,,
,,,,,,T5,Subhash Narayan Karbelkar,G205,M,1,,
,,,,,,T6,Sashideep Gutti,G206,M,1,,
,,,,,,T7,Swastik Bhattacharya,G102,M,1,,
1383,ECE F214,ELECTRONIC DEVICES,3,0,3,L1,PARIKSHIT PARSHURAM SAHATIYA,F105,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Parikshit Parshuram Sahatiya,F105,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,L2,Sayan Kanungo,F104,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Sayan Kanungo,F104,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,Parikshit Parshuram Sahatiya,I210,W,1,,
,,,,,,,O V Vishnu Vardhan Koundinya,,,,,
,,,,,,T2,Sayan Kanungo,I210,F,1,,
,,,,,,,Banala Rathan Kumar,,,,,
,,,,,,T3,Pritesh Kumar Yadav,I213,W,1,,
,,,,,,,Trivedi Nandini Ashokkumar,,,,,
,,,,,,T4,Sumit Kumar Chatterjee,I212,W,1,,
,,,,,,T5,Sumit Kumar Chatterjee,I212,F,1,,
,,,,,,T6,Sumit Kumar Chatterjee,I211,W,7,,
,,,,,,T7,Pritesh Kumar Yadav,I211,F,1,,
1382,ECE F215,DIGITAL DESIGN,3,1,4,L1,S GURUNARAYANAN,F102,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L2,Prasant Kumar Pattnaik,F105,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L3,Meera Kumari,F103,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,T1,Meera Kumari,G202,T,10,,
,,,,,,T2,Meera Kumari,G202,Th,10,,
,,,,,,T3,Prasant Kumar Pattnaik,G203,T,10,,
,,,,,,T4,Prasant Kumar Pattnaik,G203,Th,10,,
,,,,,,T5,Amit Kumar Panda,G204,T,10,,
,,,,,,T6,Soumya J,G204,Th,10,,
,,,,,,T7,Pranay Agarwal,G206,T,10,,
,,,,,,T8,Amit Kumar Panda,G206,Th,10,,
,,,,,,T9,Aalelai Vendhan M,G207,T,10,,
,,,,,,T10,Aalelai Vendhan M,G208,Th,10,,
,,,,,,P1,Kanika,I012,M,67,,
,,,,,,,Himanshu Singh,,,,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,P2,Kanika,I012,W,67,,
,,,,,,,Gowthampolumati,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P3,Prasant Kumar Pattnaik,I012,T,67,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,P4,Pranay Agarwal,I012,Th,67,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P5,Surya Shankar Dan,I013,M,67,,
,,,,,,,Baishali Paul,,,,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,P6,Chetan Kumar Vudadha,I012,M,23,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Aditi Sood,,,,,
,,,,,,P7,Meera Kumari,I013,Th,67,,
,,,,,,,Aditi Sood,,,,,
,,,,,,,Amgith G S,,,,,
,,,,,,P8,Meera Kumari,I013,T,67,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P9,Himanshu Singh,I013,W,23,,
,,,,,,,Nongthombam Joychandra Singh,,,,,
,,,,,,P10,Gowthampolumati,I013,M,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P11,Sohel Siraj,I013,F,23,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P12,Yadav Shubham Deepak,I012,T,45,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P13,Baishali Paul,I013,W,67,,
,,,,,,,Yadav Shubham Deepak,,,,,
,,,,,,P14,Abbidi Shivani Reddy,I013,T,45,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P15,Amgith G S,I012,W,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P16,Nongthombam Joychandra Singh,I012,F,23,,
,,,,,,,Kandi Mounika,,,,,
2516,ECE F216,"ELECTRONIC DEVICES
SIMULATION LABORATORY",0,2,2,P1,SK MASUM NAWAZ,J114,M,8,,
,,,,,,,Ramsha Tuba,,,,,
,,,,,,,Sk Masum Nawaz,J114,M,9,,
,,,,,,,Ramsha Tuba,,,,,
,,,,,,,Sk Masum Nawaz,J114,F,9,,
,,,,,,,Ramsha Tuba,,,,,
,,,,,,,Sk Masum Nawaz,J114,F,10,,
,,,,,,,Ramsha Tuba,,,,,
1701,ECE F266,STUDY PROJECT,0,0,3,,Sumit Kumar Chatterjee,,,,,
1389,ECE F311,COMMUNICATION SYSTEMS,3,1,4,L1,RUNA KUMARI,F104,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,L2,Subhradeep Pal,F103,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,Runa Kumari,I210,T,7,,
,,,,,,T2,Runa Kumari,I210,Th,7,,
,,,,,,T3,Subhradeep Pal,I211,T,7,,
,,,,,,T4,Rajesh Kumar Tripathy,I211,Th,7,,
,,,,,,T5,Prashant K Wali,I212,T,7,,
,,,,,,P1,Runa Kumari,H106,F,78,,
,,,,,,,K Madhavi,,,,,
,,,,,,,M S Vaishnavi,,,,,
,,,,,,P2,Prashant K Wali,H106,Th,89,,
,,,,,,,Chenna Suresh Kumar,,,,,
,,,,,,,K Madhavi,,,,,
,,,,,,P3,Rajesh Kumar Tripathy,H106,W,89,,
,,,,,,,Amrutha Lahari Sree Rama,,,,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,P4,M S Vaishnavi,H106,M,89,,
,,,,,,,Dasari Bujji Babu,,,,,
,,,,,,P5,Chenna Suresh Kumar,H106,T,89,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,P6,Dasari Bujji Babu,H106,F,910,,
,,,,,,,Amrutha Lahari Sree Rama,,,,,
,,,,,,,Keerthi C J,,,,,
2781,ECE F331,MICROWAVE ENGINEERING,3,1,4,L1,HARISH VIJAY DIXIT,F104,M W F,5,08/10 - 1.30 - 3.00PM,06/12 FN
,,,,,,,Lalit Kumar,,,,,
,,,,,,T1,Harish Vijay Dixit,I113,Th,1,,
,,,,,,T2,Harish Vijay Dixit,I114,T,1,,
,,,,,,T3,Shaik Sultan,I114,Th,1,,
,,,,,,P1,Harish Vijay Dixit,W101,T,89,,
,,,,,,,Avula Brahma Tejaswini,,,,,
,,,,,,P2,Harish Vijay Dixit,W101,Th,89,,
,,,,,,,Karri Y K G R Srinivasu,,,,,
,,,,,,P3,Annaram Sowjanya,W101,F,78,,
,,,,,,,Karri Y K G R Srinivasu,,,,,
,,,,,,P4,Tba. Eee,W101,F,910,,
,,,,,,,Avula Brahma Tejaswini,,,,,
,,,,,,P5,Shaik Sultan,W101,M,89,,
,,,,,,,Annaram Sowjanya,,,,,
1702,ECE F366,LABORATORY PROJECT,0,0,3,,Sourav Nandi,,,,,
1705,ECE F367,LABORATORY PROJECT,0,0,3,,Sourav Nandi,,,,,
1703,ECE F376,DESIGN PROJECT,0,0,3,,Sourav Nandi,,,,,
1706,ECE F377,DESIGN PROJECT,0,0,3,,Sourav Nandi,,,,,
1392,ECE F434,DIGITAL SIGNAL PROCESS,3,1,4,L1,BVVSN PRABHAKAR RAO,F106,T Th,5,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,,Bvvsn Prabhakar Rao,F106,M,7,09/10 - 1.30 - 3.00PM,09/12 FN
,,,,,,T1,Bvvsn Prabhakar Rao,I122,T,1,,
,,,,,,T2,Venkateswaran Rajagopalan,I122,Th,1,,
,,,,,,T3,Subhendu Kumar Sahoo,I222,T,10,,
,,,,,,P1,Venkateswaran Rajagopalan,I011,M,89,,
,,,,,,,Krishnapriya G B,,,,,
,,,,,,,Sajith Pm,,,,,
,,,,,,P2,Bvvsn Prabhakar Rao,I011,W,89,,
,,,,,,,Sreejith V,,,,,
,,,,,,,Tba. Eee,,,,,
,,,,,,P3,Parvathy Nair,I011,T,89,,
,,,,,,,Tba. Eee,,,,,
,,,,,,P4,Sajith Pm,I011,Th,89,,
,,,,,,,Tba. Eee,,,,,
,,,,,,P5,Krishnapriya G B,I011,F,78,,
,,,,,,,Parvathy Nair,,,,,
2782,ECE F438,ELECTRIC VEHICLES,3,0,3,L1,PRATYUSH CHAKRABORTY,I213,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
1023,ECON F211,PRINCIPLES OF ECONOMICS,3,0,3,L1,Rishi Kumar,J121,T Th,8,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Archana Srivastava,,,,,
,,,,,,,Rishi Kumar,J121,Th,1,,
,,,,,,,Archana Srivastava,,,,,
,,,,,,L2,Rishi Kumar,J121,M W F,9,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Archana Srivastava,,,,,
,,,,,,L3,BHEEMESHWAR REDDY A,J218,T Th,8,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Thota Nagaraju,,,,,
,,,,,,,Bheemeshwar Reddy A,J218,Th,1,,
,,,,,,,Thota Nagaraju,,,,,
,,,,,,L4,Bheemeshwar Reddy A,J218,M W F,9,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Thota Nagaraju,,,,,
,,,,,,L5,Mini Thomas P,J219,T Th,8,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Sudatta Banerjee,,,,,
,,,,,,,Mini Thomas P,J219,Th,1,,
,,,,,,,Sudatta Banerjee,,,,,
,,,,,,L6,Mini Thomas P,J219,M W F,3,07/10 -  9.30 - 11.00AM,03/12 FN
,,,,,,,Sudatta Banerjee,,,,,
1120,ECON F212,FUNDA OF FIN AND ACCOUNT,3,0,3,L1,THOTA NAGARAJU,F207,M W F,4,04/10 -  3.30 - 5.00PM,16/12 AN
,,,,,,L2,Utkarsh Kumar,F207,M W F,2,04/10 -  3.30 - 5.00PM,16/12 AN
1121,ECON F213,MATHEMATIC & STAT METHOD,3,0,3,L1,DUSHYANT KUMAR,F208,F,7,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Dushyant Kumar,F208,T Th,9,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,Dushyant Kumar,J119,M,7,,
1145,ECON F214,ECONOMIC ENV OF BUSINESS,3,0,3,L1,SUDATTA BANERJEE,F207,T Th,3,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Sudatta Banerjee,F207,W,10,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Soumya Sucharita Panda,J115,F,1,,
1656,ECON F266,STUDY PROJECT,0,0,3,,Sravani Bharandev,,,,,
1446,ECON F311,INTERNATIONAL ECONOMICS,3,0,3,L1,ARCHANA SRIVASTAVA,F207,T Th,4,07/10 - 3.30 - 5.00PM,04/12 AN
,,,,,,,Archana Srivastava,F207,F,5,07/10 - 3.30 - 5.00PM,04/12 AN
,,,,,,T1,Archana Srivastava,F207,T,1,,
1447,ECON F312,MONEY BANKING & FIN MARKETS,3,0,3,L1,SUNNY KUMAR SINGH,F207,M W F,9,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,T1,Sunny Kumar Singh,F207,T,8,,
1448,ECON F313,ISSUES IN ECONOMIC DEV,3,0,3,L1,DURGESH CHANDRA PATHAK,F207,M W F,8,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,T1,Durgesh Chandra Pathak,F207,Th,8,,
1923,ECON F315,FINANCIAL MANAGEMENT,3,0,3,L1,SRAVANI BHARANDEV,F208,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
1565,ECON F354,DERIVATIVES & RISK MGMT,3,0,3,L1,CHINA HUSSAIN YAGANTI,F208,T Th,3,11/10 - 1.30 - 3.00PM,13/12 FN
,,,,,,,China Hussain Yaganti,F208,W,10,11/10 - 3.30 - 5.00PM,13/12 FN
1547,ECON F355,BUSS ANAL & VALUATION,3,0,3,L1,NIVEDITA SINHA,F208,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Nivedita Sinha,F208,M,10,09/10 - 9.30 - 11.00AM,08/12 FN
1684,ECON F366,LABORATORY PROJECT,0,0,3,,Sravani Bharandev,,,,,
1741,ECON F367,LABORATORY PROJECT,0,0,3,,Sravani Bharandev,,,,,
1690,ECON F376,DESIGN PROJECT,0,0,3,,Sravani Bharandev,,,,,
1757,ECON F377,DESIGN PROJECT,0,0,3,,Sravani Bharandev,,,,,
1566,ECON F412,SECUR ANAL & PORTFOL MGT,3,0,3,L1,SHREYA BISWAS,F208,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
,ECON F415,NEW VENTURE CREATION,3,0,3,L1,MUMHAMMED SAJID N,F101,T Th,1011,,
,ECON F491,SPECIAL PROJECT,0,0,3,,Sravani Bharandev,,,,,
2552,ECON G543,ADVANCED CORPORATE FINANCE,3,0,4,L1,SRAVANI BHARANDEV,J115,T Th,5,08/10 - 9.30 - 11.00AM,05/12 FN
,,,,,,,Sravani Bharandev,J115,M,8,,
2554,ECON G545,FINANCIAL ECONOMICS,3,0,4,L1,SHREYA BISWAS,J115,T Th,3,10/10 - 11.30 - 1.00PM,10/12 AN
,,,,,,,Shreya Biswas,J115,F,8,,
2556,ECON G547,TOPICS IN MACROECONOMICS,3,0,4,L1,SUNNY KUMAR SINGH,J115,M W F,3,11/10 - 9.30 - 11.00AM,12/12 FN
2557,ECON G548,"TOPICS IN MATHEMATICAL
ECONOMICS",3,0,4,L1,DUSHYANT KUMAR,J119,T Th,4,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Dushyant Kumar,J119,W,8,,
1009,EEE F111,ELECTRICAL SCIENCES,3,0,3,L1,MITHUN MONDAL,F103,M W F,5,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L2,Sudha Radhika,F103,M W F,2,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L3,Arindam Kushagra,F106,W F,2,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,,,F106,T,7,,
,,,,,,T1,Mithun Mondal,I111,T,10,,
,,,,,,,P Swati Patro,,,,,
,,,,,,T2,Mithun Mondal,I111,W,10,,
,,,,,,,Kurakula Anudeep,,,,,
,,,,,,T3,Sudha Radhika,I112,T,10,,
,,,,,,,Mulla Gouse Basha,,,,,
,,,,,,T4,Sudha Radhika,I113,W,10,,
,,,,,,T5,Arindam Kushagra,I113,T,10,,
,,,,,,T6,Arindam Kushagra,I112,M,10,,
,,,,,,T7,Ravikiran Yeleswarapu,I114,T,10,,
,,,,,,T8,Ravikiran Yeleswarapu,I114,W,10,,
,,,,,,T9,Sourav Nandi,I122,T,10,,
,,,,,,T10,Sourav Nandi,I211,M,10,,
1077,EEE F211,ELECTRICAL MACHINES,3,1,4,L1,ANKUR BHATTACHARJEE,F105,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Ankur Bhattacharjee,F105,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,L2,Stp Srinivas,F104,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Neha Tak,,,,,
,,,,,,,Stp Srinivas,F104,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Neha Tak,,,,,
,,,,,,T1,Ankur Bhattacharjee,I111,W,1,,
,,,,,,T2,Ankur Bhattacharjee,I111,F,1,,
,,,,,,T3,Stp Srinivas,I112,W,1,,
,,,,,,T4,Neha Tak,I112,F,1,,
,,,,,,T5,R N Ponnalagu,I113,W,1,,
,,,,,,T6,R N Ponnalagu,I113,F,1,,
,,,,,,T7,Pratyush Chakraborty,I114,W,1,,
,,,,,,T8,Pratyush Chakraborty,I114,F,1,,
,,,,,,P1,Ankur Bhattacharjee,W106,M,67,,
,,,,,,,Gorityala Aishvaria,,,,,
,,,,,,,Mahad Mohamud Uud,,,,,
,,,,,,P2,Joyjit Mukherjee,W106,T,67,,
,,,,,,,Mahad Mohamud Uud,,,,,
,,,,,,,Pragada Dheeraj Abhinav,,,,,
,,,,,,P3,Sudha Radhika,W106,W,67,,
,,,,,,,Danwada Sharanya,,,,,
,,,,,,,Avula Vijay Kumar,,,,,
,,,,,,P4,Pratyush Chakraborty,W106,Th,67,,
,,,,,,,Aabid Chandbasha Mulla,,,,,
,,,,,,,Abhinav Sharma,,,,,
,,,,,,P5,Gorityala Aishvaria,W106,M,23,,
,,,,,,,Krishna Tejus E M,,,,,
,,,,,,P6,Pragada Dheeraj Abhinav,W106,W,23,,
,,,,,,,Abhinav Sharma,,,,,
,,,,,,P7,Avula Vijay Kumar,W106,F,23,,
,,,,,,,Danwada Sharanya,,,,,
,,,,,,P8,Krishna Tejus E M,W106,T,45,,
,,,,,,,Aabid Chandbasha Mulla,,,,,
1078,EEE F212,ELECTROMAGNETIC THEO I,3,0,3,L1,"SATYA NARAYANA MURTHY
VEMULAPATI",G201,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Satya Narayana Murthy Vemulapati,G201,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L2,Asrarul Haque,G202,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Asrarul Haque,G202,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L3,Rickmoy Samanta,G203,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Rickmoy Samanta,G203,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L4,Tanay Nag,G204,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Tanay Nag,G204,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L5,Subhash Narayan Karbelkar,G205,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Subhash Narayan Karbelkar,G205,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L6,Sashideep Gutti,G206,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Sashideep Gutti,G206,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,L7,Swastik Bhattacharya,G207,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Swastik Bhattacharya,G207,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Satya Narayana Murthy Vemulapati,G201,M,1,,
,,,,,,T2,Asrarul Haque,G202,M,1,,
,,,,,,T3,Rickmoy Samanta,G203,M,1,,
,,,,,,T4,Tanay Nag,G204,M,1,,
,,,,,,T5,Subhash Narayan Karbelkar,G205,M,1,,
,,,,,,T6,Sashideep Gutti,G206,M,1,,
,,,,,,T7,Swastik Bhattacharya,G102,M,1,,
1080,EEE F214,ELECTRONIC DEVICES,3,0,3,L1,PARIKSHIT PARSHURAM SAHATIYA,F105,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Parikshit Parshuram Sahatiya,F105,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,L2,Sayan Kanungo,F104,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Sayan Kanungo,F104,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,Parikshit Parshuram Sahatiya,I210,W,1,,
,,,,,,,O V Vishnu Vardhan Koundinya,,,,,
,,,,,,T2,Sayan Kanungo,I210,F,1,,
,,,,,,,Banala Rathan Kumar,,,,,
,,,,,,T3,Pritesh Kumar Yadav,I213,W,1,,
,,,,,,,Trivedi Nandini Ashokkumar,,,,,
,,,,,,T4,Sumit Kumar Chatterjee,I212,W,1,,
,,,,,,T5,Sumit Kumar Chatterjee,I212,F,1,,
,,,,,,T6,Sumit Kumar Chatterjee,I211,W,7,,
,,,,,,T7,Pritesh Kumar Yadav,I211,F,1,,
1079,EEE F215,DIGITAL DESIGN,3,1,4,L1,S GURUNARAYANAN,F102,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L2,Prasant Kumar Pattnaik,F105,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,L3,Meera Kumari,F103,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,T1,Meera Kumari,G202,T,10,,
,,,,,,T2,Meera Kumari,G202,Th,10,,
,,,,,,T3,Prasant Kumar Pattnaik,G203,T,10,,
,,,,,,T4,Prasant Kumar Pattnaik,G203,Th,10,,
,,,,,,T5,Amit Kumar Panda,G204,T,10,,
,,,,,,T6,Soumya J,G204,Th,10,,
,,,,,,T7,Pranay Agarwal,G206,T,10,,
,,,,,,T8,Amit Kumar Panda,G206,Th,10,,
,,,,,,T9,Aalelai Vendhan M,G207,T,10,,
,,,,,,T10,Aalelai Vendhan M,G208,Th,10,,
,,,,,,P1,Kanika,I012,M,67,,
,,,,,,,Himanshu Singh,,,,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,P2,Kanika,I012,W,67,,
,,,,,,,Gowthampolumati,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P3,Prasant Kumar Pattnaik,I012,T,67,,
,,,,,,,Nishchitha N K,,,,,
,,,,,,,Sohel Siraj,,,,,
,,,,,,P4,Pranay Agarwal,I012,Th,67,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P5,Surya Shankar Dan,I013,M,67,,
,,,,,,,Baishali Paul,,,,,
,,,,,,,Sagnik Kundu,,,,,
,,,,,,P6,Chetan Kumar Vudadha,I012,M,23,,
,,,,,,,Abbidi Shivani Reddy,,,,,
,,,,,,,Aditi Sood,,,,,
,,,,,,P7,Meera Kumari,I013,Th,67,,
,,,,,,,Aditi Sood,,,,,
,,,,,,,Amgith G S,,,,,
,,,,,,P8,Meera Kumari,I013,T,67,,
,,,,,,,Kandi Mounika,,,,,
,,,,,,,Mou Sarkar,,,,,
,,,,,,P9,Himanshu Singh,I013,W,23,,
,,,,,,,Nongthombam Joychandra Singh,,,,,
,,,,,,P10,Gowthampolumati,I013,M,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P11,Sohel Siraj,I013,F,23,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P12,Yadav Shubham Deepak,I012,T,45,,
,,,,,,,Yuvraj Maphrio Mao,,,,,
,,,,,,P13,Baishali Paul,I013,W,67,,
,,,,,,,Yadav Shubham Deepak,,,,,
,,,,,,P14,Abbidi Shivani Reddy,I013,T,45,,
,,,,,,,Soppari Nithesh,,,,,
,,,,,,P15,Amgith G S,I012,W,23,,
,,,,,,,Isha Basumatary,,,,,
,,,,,,P16,Nongthombam Joychandra Singh,I012,F,23,,
,,,,,,,Kandi Mounika,,,,,
1657,EEE F266,STUDY PROJECT,0,0,3,,Sumit Kumar Chatterjee,,,,,
1242,EEE F311,COMMUNICATION SYSTEMS,3,1,4,L1,RUNA KUMARI,F104,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,L2,Subhradeep Pal,F103,M W F,3,06/10 - 3.30 - 5.00PM,02/12 AN
,,,,,,T1,Runa Kumari,I210,T,7,,
,,,,,,T2,Runa Kumari,I210,Th,7,,
,,,,,,T3,Subhradeep Pal,I211,T,7,,
,,,,,,T4,Rajesh Kumar Tripathy,I211,Th,7,,
,,,,,,T5,Prashant K Wali,I212,T,7,,
,,,,,,P1,Runa Kumari,H106,F,78,,
,,,,,,,K Madhavi,,,,,
,,,,,,,M S Vaishnavi,,,,,
,,,,,,P2,Prashant K Wali,H106,Th,89,,
,,,,,,,Chenna Suresh Kumar,,,,,
,,,,,,,K Madhavi,,,,,
,,,,,,P3,Rajesh Kumar Tripathy,H106,W,89,,
,,,,,,,Amrutha Lahari Sree Rama,,,,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,,Keerthi C J,,,,,
,,,,,,P4,M S Vaishnavi,H106,M,89,,
,,,,,,,Dasari Bujji Babu,,,,,
,,,,,,P5,Chenna Suresh Kumar,H106,T,89,,
,,,,,,,Chinthapalli Amulya,,,,,
,,,,,,P6,Dasari Bujji Babu,H106,F,910,,
,,,,,,,Amrutha Lahari Sree Rama,,,,,
,,,,,,,Keerthi C J,,,,,
1243,EEE F313,ANALOG & DIGITAL VLSI DES,3,0,3,L1,SURYA SHANKAR DAN,F105,T Th,4,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,,Surya Shankar Dan,F105,W,7,11/10 - 9.30 - 11.00AM,12/12 FN
